Beteiligte;Titel_Sammlung;Objektbezeichnung;InvNr;Jahr_von;Jahr_bis;Datierung;Gattung;Geogr_Bezug;Maße;Material;Beschriftung;Verw_Institution;Sammlungsbereich;Akt_Standort;Beschreibung_Notizen
Carl Friedrich Mylius;Das Bockenheimer Tor mit Blick in die Hochstraße, im Vordergrund die Große Bockenheimer Straße;Architektur, Stadttopographie;C10544,1;1861;1870;1870;Fotografie;Frankfurt am Main-Bockenheim, Große Bockenheimer Straße, Hochstraße (Bockenheimer Tor);"Bildmaß: 21 x 28,9 cm; Blattmaß: 32,3 x 41,3 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Nach dem Schleifen der alten Stadtbefestigung erhielt auch das Bockenheimer Tor im Jahr 1809 neue Torhäuser im klassizistischen Stil (links), die bis 1834 nachts geschlossen wurden. Das kleine Gebäude rechts mit dem Uhrtürmchen war Verkaufsstelle für Theaterkarten und wurde später einer der ersten Kioske der Stadt. Rechts geht der Blick in die Hochstraße._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 177)_x000D_
_x000D_
_x000D_
Blick in eine Gasse, rechts vorne das Torhäuschen mit einem Uhrturm (mit der Aufschrift ""BOCKENHEIMER THOR MDCCCIX [1809]""), davor ein Pferdewagen, links vorne ein Häuschen mit Säulen, davor einige Karren, in der Mitte des Bildes verläuft eine Mauer, die die Gasse vom Hof eines dreistöckigen Gebäudes trennt, im Vordergrund der Schatten eines Gebäudes auf dem Straßenpflaster._x000D_
_x000D_
Das Motiv könnte den Maler des Aquarells C35576 angeregt haben (gleicher Blickwinkel, Schattenwurf und Uhrzeit sowie Einzelmotive wie das Pferd mit Wagen rechts oder die beiden Einzler links)."
Carl Friedrich Mylius;Grab von Arthur Schopenhauer auf dem Frankfurter Kirchhof (Hauptfriedhof), fotografiert gleich nach dem Begräbnis. Schopenhauer starb am 21. September 1860;Dokumentarfotografie, Stadttopographie;C02737;1851;1860;September 1860;Dokumentarfotografie;Frankfurt am Main-Eckenheim, Hauptfriedhof (Grab Arthur Schopenhauer);"Bildmaß: 23,4 x 18,8 cm; Objektmaß: 52,8 x 36 cm";"Papier; Albuminabzug";"auf Kaschierkarton unter dem Foto: ""Grab von Arthur Schopenhauer auf dem Frankfurter Kirchhof, photog. gleich nach dem Begräbniss. Er starb 21 Sept. 1860"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Mylius hat dieses Grab auf dem Hauptfriedhof unmittelbar nach dem Begräbnis im September 1860 photographiert. Anlass dürfte neben der Popularität des Philosophen auch die persönliche Begegnung mit ihm gewesen sein. Mylius hatte Schopenhauer zwei Jahre zuvor portraitiert und bei dieser Gelegenheit dessen schwierigen Charakter kennengelernt._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 189)"
Carl Friedrich Mylius;Hauptfriedhof, Grabmal der Familie Degen auf dem Frankfurter Friedhof;Dokumentarfotografie, Stadttopographie;C07985;1881;1890;1884;Fotografie;Frankfurt am Main-Eckenheim, Hauptfriedhof (Grabmal Degen);"Bildmaß: 23,4 x 17,9 cm; Blattmaß: 52,9 x 36,5 cm";"Papier; auf Papier aufgezogen; Albuminabzug";"Die Beschriftungen auf dem Kaschierkarton ""C. F. Mylius"", ""Frankfurter Friedhof 1884."" und ""Fam. Degen"" (jeweils Bleistift) sind von drei unterschiedlichen Händen, jedoch keine Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Nach auswärtigen Engagements war Degen 1855 nach Frankfurt zurückgekehrt, wo er über 20 Jahre festes Ensemblemitglied war und besonders durch seine Rollen in Stücken von Schiller und Kleist beliebt wurde._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 190)_x000D_
_x000D_
Grabinschrift:_x000D_
""Hier ruht in Gott_x000D_
Conrad Degen_x000D_
geb. 18. Octbr. 1811_x000D_
gest. 11. Juni 1884_x000D_
Gewidmet von seinen_x000D_
Freunden und Verwandten""_x000D_
_x000D_
Links daneben ist noch das Grabkreuz für ""Charlotte Grote geb. Schauber geb. 6. Juli 1830 gest. 14. Nov. 1884"" zu sehen."
Carl Friedrich Mylius;Grabdenkmal der Familie Gontard, ausgeführt von Eduard Schmidt von der Launitz, Hauptfriedhof;Architektur, Dokumentarfotografie, Stadttopographie;C11975;1880;1900;um 1890;Architekturfotografie;Frankfurt am Main-Eckenheim, Hauptfriedhof (Grabmal Familie Gontard);"Bildmaß: 23,8 x 17,4 cm; Blattmaß: 30 x 22 cm; Objektmaß: 53 x 36,4 cm";"auf Karton aufgezogen; Albuminabzug; Papier";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Grabdenkmal der Frankfurter Bankiersfamilie schuf der Bildhauer Eduard Schmidt von der Launitz, von dem zahlreiche weitere Grabmäler stammen. Mylius photographierte viele von ihnen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 191)_x000D_
_x000D_
_x000D_
Hoher Grabstein in einer Mauernische mit der Aufschrift: Grab der Familie Gontard, darauf steht die Skulptur eines Engels mit großen Flügeln, der mit der rechten Hand nach oben  zeigt, vor dem hellen Grabstein steht eine Reihe von Topfpflanzen, Efeu rankt links und rechts an der Nische empor_x000D_
_x000D_
Inschrift auf dem Grabstein oben:_x000D_
""GRUFT DER FAMILIE L [oder I] GONTARD"""
Carl Friedrich Mylius;Die Gutleuthöfe unterhalb Frankfurt;Architektur, Stadttopographie;C03089;1871;1880;1872;Architekturfotografie;Frankfurt am Main-Gutleutviertel, Gutleuthöfe;"Bildmaß: 21,6 x 32,1 cm; Objektmaß: 36,3 x 52,9 cm";"Papier; Albuminabzug; Tusche (aufgemalter Rauch aus Schornstein)";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der umfangreiche Komplex lag westlich der Stadt unmittelbar am Main und bildete die Kernzelle für die Entwickung dieses Gebiets zum Industriestandort. Er wurde 1873 von der Stiftung ""Allgemeiner Almosenkasten"", die den Hof an Gewerbebetriebe verpachtet hatte, an die Hessische Ludwigs-Eisenbahngesellschaft verkauft._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 238)"
Carl Friedrich Mylius;Main-Neckar-Brücke im Bau;Architektur, Stadttopographie;C07992;1871;1880;1880;Fotografie;Frankfurt am Main-Gutleutviertel, Main-Neckar-Brücke;"Bildmaß: 17 x 30,1 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Main-Neckar-Brücke im Bau;Architektur, Stadttopographie;C07993;1871;1880;1880;Fotografie;Frankfurt am Main-Gutleutviertel, Main-Neckar-Brücke;"Bildmaß: 18 x 27,9 cm; Objektmaß: 36,4 x 53 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;
Carl Friedrich Mylius;Höchst, Hof Winkler-Andreae (jetzt Farbwerke) in Frankfurt am Main, Höchst;Architektur, Stadttopographie;Ph20505;1861;1870;1865;Fotografie;Frankfurt am Main-Höchst (Hof Winkler-Andreae);"Bildmaß: 25,6 x 19,1 cm; Blattmaß: 41,5 x 32 cm";"Papier; auf Karton aufgezogen; Albuminabzug; getont";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Schloß Höchst war damals Sitz eines Amtsmanns, mit der Auflösung des Mainzer Kurfürstentums 1803 kam das Amt Höchst an die Herzöge von Nassau, 1866 an Preußen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 130)"
Carl Friedrich Mylius;Blick von der Mainlust (das heutige Nizza) über die Gleise der Hafenbahn zum Dom;Stadtansicht;C19957;1850;1870;um 1860;Landschaftsfotografie;Frankfurt am Main-Innenstadt;"Bildmaß: 16,6 x 22,1 cm; Blattmaß: 18,6 x 23,9 cm; Objektmaß: 36,5 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten rechts, auf Original-Kaschierkarton: ""a[nno] 1860"" (Bleistift)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Im Vordergrund die Mainlust (das heutige Nizza) mit der Verbindungsbahn zwischen den Bahnhöfen an der Gallusanlage und dem Hanauer Bahnhof im Ostend. Im Hintergrund der Dom und die Alte Brücke, die Untermainbrücke ist noch nicht gebaut._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 28)"
Carl Friedrich Mylius;Guaita'sches Haus, mit der Untermainbrücke im Bau, im Hintergrund eingerüsteter Domturm;Architektur, Stadtansicht, Stadttopographie;C29109;1871;1880;1874;Fotografie;Frankfurt am Main-Innenstadt;"Bildmaß: 20,5 x 29,5 cm; Blattmaß: 24,3 x 32,7 cm; Objektmaß: 36,2 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Gartenloakl war in der ersten Hälfte des 19. Jahrhunderts für seine Aussicht auf die andere Mainseite berühmt, verlor aber seine Attraktion mit dem Bau der Verbindungsbahn und der Verlängerung des Mainkais; das Gebäude wurde 1873 abgerissen. Im Hintergrund die halb fertige zwischen 1872 und 1874 erbaute Untermainbrücke, im Vordergrund gelagerte Röhren für die Umgestaltungs- und Kanalarbeiten._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 196, zu dem identischen Motiv Ph07838)"
Carl Friedrich Mylius;Eingang zum Festplatz des Deutschen Turnfestes;Dokumentarfotografie, Historie, profan, Stadttopographie;C29110;1871;1880;1880;Fotografie;Frankfurt am Main-Innenstadt;"Bildmaß: 20,5 x 28,6 cm; Blattmaß: 25,1 x 32,6 cm; Objektmaß: 36,2 x 53,1 cm";"Papier; auf Karton aufgezogen; Tusche (Nachskizzieren der Fahnen); Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das 5. Allgemeine Deutsche Turnfest fand im Juli 1880 in Frankfurt statt. Typisch für Mylius ist, dass er keine Turner aufnimmt, sondern das unbelebte Eingangstor - mit dem Spruch ""Frisch, fromm, fröhlich, frei"" - als Symbol für das Fest._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 275)_x000D_
_x000D_
Der Spruch über dem Eingangstor:_x000D_
""Gut Heil! Gesamte Turnerschaft, frisch, fröhlich, fromm & frei,_x000D_
nun zeigt dem Volk, dass Mark & Kraft noch in der Jugend sei!"""
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Guaita'sches Haus, mit der Untermainbrücke im Bau, im Hintergrund eingerüsteter Domturm;Architektur, Stadttopographie;Ph07838;1871;1880;1874;Fotografie;Frankfurt am Main-Innenstadt (Guaita'sches Haus);"Bildmaß: 20,6 x 29,3 cm; Objektmaß: 36,6 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Gartenlokal [Mainlust] war in der ersten Hälfte des 19. Jahrhunderts für seine Aussicht auf die andere Mainseite berühmt, verlor aber seine Attraktion mit dem Bau der Verbindungsbahn und der Verlängerung des Mainkais; das Gebäude wurde 1873 abgerissen. Im Hintergrund die halbfertige, zwischen 1872 und 1874 erbaute Untermainbrücke, im Vordergrund gelagerte Röhren für die Umgestaltungs- und Kanalarbeiten._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 196)"
Carl Friedrich Mylius;Die Neue Börse am Tag der Eröffnung;Architektur, Stadttopographie;C29333;1871;1880;04.03.1879;Fotografie;Frankfurt am Main-Innenstadt (Neue Börse);"Bildmaß: 19,3 x 22,8 cm; Blattmaß: 25 x 28,4 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Der großzügige Bau mit hoher Kuppel, errichtet nach den Plänen von Heinrich Burnitz, Oskar Sommer und Alexander Linnemann, ist ein markantes Zeichen für den Übergang der Stadt in die moderne Zeit._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 173)"
"Carl Friedrich Mylius; Rudolf Heinrich Burnitz, Entwurf; Oskar Sommer, Entwurf";Die neue Börse am Tag der Eröffnung;Architektur, Stadttopographie;C07977;1871;1880;04.03.1879;Fotografie;Frankfurt am Main-Innenstadt (Neue Börse);"Bildmaß: 22,2 x 28,7 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der großzügige Bau mit hoher Kuppel, errichtet nach den Plänen von Heinrich Burnitz, Oskar Sommer und Alexander Linnemann, ist ein markantes Zeichen für den Übergang der Stadt in die moderne Zeit._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 173, zu dem identischen Motiv C29333)"
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Die Biebergasse vom Komödienhause aus;Stadttopographie;C27047;1871;1880;1872;Fotografie;Frankfurt am Main-Innenstadt, Biebergasse;"Bildmaß: 28,5 x 24,8 cm; Objektmaß: 53,2 x 36,5 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Der Blick geht vom Stadttheater, dessen Vordach links zu sehen ist, nach Westen in Richtung Schillerplatz, das Eckhaus rechts begrenzt den Theaterplatz. An dem sonnigen Tag der Aufnahme hatten sämtliche Geschäfte ihre Markisen vorgezogen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 170)_x000D_
_x000D_
rechts die ""Restauration Baierische Bier=Halle Heinrich Hold""_x000D_
_x000D_
Ganz hinten, Richtung Schillerplatz, erkennbar:_x000D_
""J. B. W. Lampe""_x000D_
""C. Strohlein.""_x000D_
""SCHOTT & C.""_x000D_
""Musikalien Ha[...]""_x000D_
und eine ""WEINWIRTSCHAFT"""
Carl Friedrich Mylius;Biebergasse mit Blick auf das alte Schauspielhaus;Architektur, Stadttopographie;C19952;1850;1870;um 1860;Architekturfotografie;Frankfurt am Main-Innenstadt, Biebergasse;"Bildmaß: 31 x 22,7 cm; Blattmaß: 33,4 x 24,8 cm; Objektmaß: 53 x 36,5 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";"verso, unten mitte, auf Original-Kaschierkarton: ""VII 342."" (Bleistift, Zugangsnummer)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Geschäftswerbung am rechten Haus (zum Teil abgeschnitten):_x000D_
_x000D_
""TABLEAUX [...]""_x000D_
""KLINGE [...]""_x000D_
""Tülle, Spitzen [...]""_x000D_
""Taschen, Bandagen & Säcklerwaaren v. C. F. Sa[...]""_x000D_
""Fleisch-Damm [?]"""
"Carl Friedrich Mylius; Carl Friedrich Mylius, ganz oben im Fenster";Die Rückseite (Hinterhaus) des Hauses Biebergasse 3, Wohnung des Fotografen Carl Friedrich Mylius;Stadttopographie;C29121;1881;1890;1889;Fotografie;Frankfurt am Main-Innenstadt, Biebergasse 3 (Wohnhaus C. F. Mylius);"Bildmaß: 29,4 x 19,8 cm; Blattmaß: 35,2 x 24,2 cm; Objektmaß: 53 x 36,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten, auf Unterkarton: ""Niedergelegt v. 4 Mai bis 25 Mai 1889. Bibergasse [sic] No. 3, Hinterhaus Wohnhaus des Photogr. C. F Mylius geb. 10 Januar 1826 [sic]."" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Mylius ließ sein Haus im Mai 1889 abreißen und durch einen Neubau ersetzen. Auch diese Aufnahme hat nostalgischen Charakter: Er wollte noch einmal sein Atelier dokumentieren und steht oben am offenen Fenster, umgeben von frischen Positiv-Abzügen, die in der Sonne trocknen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 171)"
Carl Friedrich Mylius;Bierbrauer-Ausstellung in Frankfurt, Inneres der Landwirtschaftlichen Halle;Architektur, Dokumentarfotografie;C02756;1871;1880;August 1876;Architekturfotografie;Frankfurt am Main-Innenstadt, Bleichgartenplatz, Landwirtschaftliche Halle;"Bildmaß: 22 x 29,1 cm; Objektmaß: 36,3 x 52,6 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Zu sehen sind zahlreiche Stände einheimischer und auswärtiger Firmen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 272)"
Carl Friedrich Mylius;Bierbrauer-Ausstellung in Frankfurt, Eingang zur Bierbrauer-Ausstellung auf dem Bleichgartenplatz und in der Landwirtschaftlichen Halle;Architektur, Dokumentarfotografie;C02755;1871;1880;August 1876;Fotografie;Frankfurt am Main-Innenstadt, Bleichgartenplatz, Landwirtschaftliche Halle;"Bildmaß: 27,5 x 20,3 cm; Objektmaß: 52,7 x 36,4 cm";"Papier; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Ausstellung fand im August 1876 in der Landwirtschaftlichen Halle und auf einem davorliegenden Außengelände statt. Der Torbogen ist ein typisches Beispiel für derartige Schauarchitekturen, die nach der Veranstaltung wieder abgetragen wurden._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 270)"
"Carl Friedrich Mylius; Kein Eintrag, alte Zuschreibung";Eckhaus an der Bleichstraße, Rückfront, mit Blick auf Eschenheimer Turm;Stadttopographie;Ph00071;1855;1875;um 1865;Fotografie;Frankfurt am Main-Innenstadt, Bleichstraße;"Bildmaß: 23,4 x 17,6 cm; Objektmaß: 36,2 x 26,5 cm";"Papier; auf Papier aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Mylius wählte einen eher untypischen Blickwinkel aus südwestlicher Sicht über die Häuser und Gärten von Bleichstraße (links) und Hochstraße (rechts) hinweg. Das Gebäude links neben dem Turm ist das Senckenbergische Museum._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 71)"
"Carl Friedrich Mylius; Jakob Heinrich Christoph Gustav Kaupert, des Börne-Denkmals";Das Börne-Denkmal in der Bockenheimer Anlage (von Prof. Jakob Kaupert) am Tage der Enthüllung, 6. Juni 1877, 11 Uhr;Dokumentarfotografie, Stadttopographie;C03088;1871;1880;06.06.1877;Dokumentarfotografie;Frankfurt am Main-Innenstadt, Bockenheimer Anlage (Börne-Denkmal);"Bildmaß: 27,5 x 21,3 cm; Objektmaß: 53 x 36,3 cm Passepartout-Karton";"Papier; Passepartout-Karton; Albuminabzug";"recto, auf Kaschierkarton: ""Das Börne-Denkmal in der Bockenheimer Anlage. Von Kaupert  Am Tage der Enthüllung, 6. Juni 1877, 11 Uhr. Photo. v. C. F. Mylius"" (schwarze Tinte)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;"Mylius fotografierte das Denkmal am 6. Juni 1877, dem Tag der Enthüllung zum 40. Todestag von Börne. Es wurde in der Bockenheimer Anlage errichtet zum Gedenken an den in Frankfurt geborenen Journalisten, Literatur- und Theaterkritiker, der zum Wegbereiter der literarischen Kritik in Deutschland wurde un 1830 ins Pariser Exil ging._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 273)"
Carl Friedrich Mylius;Das alte Senckenbergische Haus in der Eschenheimergasse. Abgerissen. Hintere Ansicht vom Botanischen Garten;Natur, Stadttopographie;C09731;1861;1870;1866;Fotografie;Frankfurt am Main-Innenstadt, Eschenheimer Gasse (Senckenbergisches Stiftsgebäude);"Bildmaß: 25 x 19,9 cm; Objektmaß: 36,3 x 52,8 cm zusammen mit C09730 auf einem Karton";"Papier; Albuminabzug";"verso, unten (unter dem Stempel der Städtischen Sammlungen): ""aus d. AV[ligiert,=Alterthums-Verein] getilgt"" (blauer Stempel)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Aufnahme zeigt die Rückseite. Das große Haus rechts ist das Naturhistorische Museum, das 1820 nach Plänen des Stadtbaumeisters Johann Friedrich Christian Hess errichtet wurde und später ein weiteres Stockwerk erhielt, links die Rückseite des Bibliotheksgebäudes. Der Garten ist Teil des Botanischen Gartens der Stiftung._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 73)"
Carl Friedrich Mylius;Das alte Senckenbergische Haus in der Eschenheimergasse. Abgerissen. Ansicht von der Straße;Stadttopographie;C09730;1861;1870;1866;Fotografie;Frankfurt am Main-Innenstadt, Eschenheimer Gasse (Senckenbergisches Stiftsgebäude);"Bildmaß: 24,7 x 18,6 cm; Objektmaß: 36,3 x 52,8 cm zusammen mit C09731 auf einem Karton";"Papier; Albuminabzug";"verso, unten (unter dem Stempel der Städtischen Sammlungen): ""aus d. AV[ligiert,=Alterthums-Verein] getilgt"" (blauer Stempel)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Das Gebäude wurd in diesem Jahr [1866] durch einen Neubau ersetzt und gehörte zu dem Gebäudekomplex der Senckenbergischen Stiftung, die auf den Franfurter Arzt Johann Christian Senckenberg zurückgeht. Die Stiftung unterhielt zwischen Stift- und Bleichstraße das Naturhistorische Museum, den Botanischen Garten und das Bürgerhospital._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 72)_x000D_
_x000D_
Unter dem Straßenschild ""Stiftstraße"" das Schild_x000D_
""P. Weisensee_x000D_
Lohnkutscher_x000D_
Equipages á louer_x000D_
39""_x000D_
An der Plakatwand ist außer ""Zoologischer Garten"" und ""Masken-Ball"" nichts zu entziffern."
"Carl Friedrich Mylius; Hermann Ritter";Eschersheimer Landstraße, Dr. Hoch's Konservatorium (Straßenfassade) des Architekten Hermann Ritter;Stadttopographie;C09088;1881;1890;1888;Fotografie;Frankfurt am Main-Innenstadt, Escherheimer Landstraße (Dr. Hoch'sches Konservatorium);"Bildmaß: 25,1 x 31,4 cm; Objektmaß: 36,5 x 53 cm Passepartout-Karton";"Papier; auf Karton aufgezogen; Passepartout-Karton; Albuminabzug";"auf der Fassade: ""MDCCCLXXVIII [1878] DR HOCH'S CONSERVATORIUM MDCCCLXXXVIII [1888]""";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;Graphische Sammlung;
Carl Friedrich Mylius;Haus Trier in der Eschersheimer Landstraße am Eschenheimer Tor, niedergelegt 1872 (jetzt an dieser Stelle: Konservatorium);Architektur, Stadttopographie;C05494;1851;1860;1860;Fotografie;Frankfurt am Main-Innenstadt, Eschersheimer Landstraße (Haus Trier);"Bildmaß: 21,2 x 25,4 cm; Objektmaß: 36,5 x 53,1 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"An dieser Stelle wurde zehn Jahre später das Gebäude des Dr. Hochschen Conservatoriums errichtet._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 180)_x000D_
_x000D_
Die Straße, die im Bild nach hinten führt, ist die Eschersheimer Landstraße; die Straße im Vordergrund die Eschenheimer Anlage (so auf den Schildern im Bild unten rechts zu lesen)"
Carl Friedrich Mylius;Die Kanzel in der französisch-reformierten Kirche am Goetheplatz;Architektur, Interieur, Stadttopographie;C11973;1855;1875;um 1865;Architekturfotografie;Frankfurt am Main-Innenstadt, Goetheplatz (Französisch-Reformierte Kirche);"Bildmaß: 22,6 x 16,8 cm; Blattmaß: 29 x 21,4 cm; Objektmaß: 53,1 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Unterhalb der Kanzel befindet sich der Abendmahlstisch. Auch von diesem Motiv sind mehrere Varianten bekannt. Im Gottesdienst und in den Gemeindeveranstaltungen wurde bis 1916 französisch gesprochen._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 161)_x000D_
_x000D_
_x000D_
Von je zwei Säulen aus Buntsandstein gerahmt sieht man die ebenfalls steinerne Kanzel auf einer Säule, darüber ein verzierter Sims mit einer hellen Kuppel, vor dem Altar sieht man drei Reihen hölzerne Kirchenbänke"
Carl Friedrich Mylius;Große Eschenheimer Gasse Nr. 41, 43 und 45, im Vordergrund die Stiftstraße;Stadttopographie;C22603;1860;1880;um 1870;Fotografie;Frankfurt am Main-Innenstadt, Große Eschenheimer Gasse 41, 43, 45;"Bildmaß: 23,6 x 19,8 cm; Blattmaß: 25 x 21 cm; Objektmaß: 53,2 x 36,4 cm";"Papier; auf Karton aufgezogen; Albuminabzug";"recto, unten: ""Bürger Verein No. 41. grosse Eschenheimergasse No. 43 - No. 45."" (schwarze Tinte, Handschrift von C. F. Mylius)";Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Die Große Eschenheimer Straße hieß ursprünglich Große Eschenheimer Gasse und verbindet den Schillerplatz mit dem Eschenheimer Turm. Abgebildet sind die Häuser 45 - 41, gesehen vom Eschenheimer Turm aus._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 167)_x000D_
_x000D_
oben rechts ist ein großes Storchennest zu sehen - ohne Storch (vergleiche C29117: hier mit Storch; vergleiche auch Katalog ""Wie Frankfurt photographiert wurde"", Frankfurt am Main 1977, S. 124 unten: die C19966: hier ist am rechten Bildrand, mitte, ebenfalls ein unbewohntes Storchennest zu sehen)_x000D_
_x000D_
vorne links das Straßenschild ""Stiftstrasse""_x000D_
_x000D_
Haus Nr. 43:_x000D_
""ANTIQUTES_x000D_
CURIOSITES_x000D_
L. ALTMATE [? Name? schwer lesbar]""_x000D_
_x000D_
Haus Nr. 45:_x000D_
""Colonialwaaren. ADOLF SCHE[von Bildrand abgeschnitten]"""
Carl Friedrich Mylius;Giebelfeld des Hauses Große Eschersheimer Gasse Nr. 43, 1891 abgebrochen, mit dem Fleischbein-von-Clebergs-Wappen;Architektur, Stadttopographie;C29095;1881;1890;1884;Fotografie;Frankfurt am Main-Innenstadt, Große Eschenheimer Gasse 43;"Bildmaß: 17,5 x 22,7 cm; Blattmaß: 23,2 x 28 cm; Objektmaß: 36,1 x 53 cm";"Papier; auf Karton aufgezogen; Albuminabzug";;Historisches Museum Frankfurt, Frankfurt am Main;Fotografie;;"Aufgenommen vom gegenüberliegenden Gebäude des (alten) Bürgervereins von 1848 aus, dessen Mitglied Mylius war. Das Giebelfeld zeigt das Wappen des ursprünglichen Bauherren Philipp Wilhelm Fleischbein, ""Lamm und Löwe in diagonal gelegenen Feldern""._x000D_
(Eberhard Mayer-Wegelin, Das alte Frankfurt am Main 1855 - 1890, 2014, S. 168)_x000D_
_x000D_
Die Verschattungen an den Bildecken können von einem gegenüberliegenden Fenster kommen, von dem aus die Aufnahme gemacht wurde; die Verschattungen fehlen auf der Fay-Reproduktion C40024,257"
